,ACCURACY_WO_SPACES,DO_ALL,INPUT_FILE,MAX_COLS,MFCC_START,NUM_CLUSTERS,N_COMPONENTS,OVERALL_ACCURACY,PREDICTION,RATE,SCORE,SMOOTH,TOL,WHITEN
2016-12-02 04:58:41.241779,0.22840236686390536,False,data/LABELED_CHARACTER_INPUTS.csv,-1,0,50,100,0.3507604562737643,anice whe ankierolk sicked four tiner jutsanthes or ted sprted of the thof her buavey f mbily pl br fore ng twire hin har fthing omin the hino ong satrd ishe tematik outous ame al amumuges ovesilingsatucos ar at t o sime is the ave cobe hino tat whe alare watomat buntutesing malinghaty lsthe tor whe hicowiandlo or ang wes bere steran as she ainng ais her hit the mane ind anen hedr tonty thed squcer wintind sck hearovesthe mmpalack wathexpimar whang of wived theingapous is gsttilycof her fimofio tof thisods hing sngrelly t walenthepoug with bery wong the wicar ay ond marde war comoulo wicinducoftarewhe of ffay ing ind moure tovio in wa orey wack cacread bomman tes matr ft ofondten ticond mavedwhear ble wyore fa pame wilprede ay this iof he hay male by mof sffred wauby thtugho qur bent the thorin mamplaly thaly aveanco hin aicons arean blly blizze at an ale ther heddind beampome ssadrer th ond inet mor ad heithed icoret sbll wely thean aster at ixprt blly hingeasouly quspaly be o athe chidof ang wancobung al kin cay axpar son thanwon don ,44100,-3951.1306436974382,0.018315638888734179,0.01,True
2016-12-02 04:59:02.706149,0.2887573964497041,False,data/LABELED_CHARACTER_INPUTS.csv,-1,0,50,100,0.3973384030418251,alive was medingond stherd onig there timsinther he med scothe ho the mpll ang wimong f ofing wa te onge ld thive wit hag ndount heal the hall hed sated mepr mepamad himais mpr ma mpivises lorstivedsaticor in itha s supofis the ine tofo hall tachase aller witovit fintitrs ld winthequcount he the bas wivebumbeno le ind wer bund oungal as the bulll ato hig hat dpofiche ind anel hede wonte mans twivig whetald ock heagherompr mprinick tackexcupin walll or buses the ssmavis be ssttingacl ang jupplan tar taithes quen sther ay p whiveshersit with bung bonthean hiour ay and omede bug blofinomat trdicormarowhe lo roby but bld plior thous is br hery wond tacorad fompil mes matr ft ofondtes wached washexphar kin agogecki mave wanberer ay whag ico we omo miar ay wof tererd blily matispl win thed the tangus wabe aly tomay aveasis has athast asion fing antior at is ant tang heddurd anmpropr ssadery th ord thet whe id whathed athent ofon weny wouas arter at izzed angg anghesthing wiomang at s athe hevely ond bancofind of was tig azzan tor tbablls dst ,44100,-3961.0304461100523,0.049787068367863944,0.01,True
2016-12-02 04:59:22.105550,0.3656804733727811,False,data/LABELED_CHARACTER_INPUTS.csv,-1,0,50,100,0.4619771863117871,alicexpas medindind ncover beng theed tousinther he mer sckthe ty the mpll and wifong a thing wa ck blve ld thive wis has yromes thal the hall hed saver usas mewamak himbinofay ff manondes loftoncedsatiche in itof t supo is the ime by t hall ticomit alive witycit anstivesuld winckstacouns he the was wicowiforng in hed her aind sbedil as the aisis ico his ict spo jase mer meel hers wheng bant swicis whotatr qut heasthequpr offing t sactoucupin wofls by wisth thoundfftin ck ssttingbul and lupplal tby saistre then ssthecar a wintethofins with aingowhecodan oulay fr ber orere was bloling mo bero bymanthit ly ybar bus bld alive thout in of ther wock of vear alowil bys haty yt lllortes co her wisprmppry the mengo yo mate wanovery ar whas mby at ofo thay ar allorender winor matisal win ched the saldin waathale tofar aveannt ton icouns avion anco anciof at in ang thed herrier anmpilay starvey st ber cket whe or whather achent sfon heng woman artey ft hqund andg acesththingowiofing at t fthe omorly ond was baind of wan cig aquin the twample sts ,44100,-3957.4187933338435,0.1353352832366127,0.01,True
2016-12-02 04:59:35.689120,0.08994082840236683,False,data/LABELED_CHARACTER_INPUTS.csv,-1,0,50,100,0.23764258555133078,hevin mat indiroled wimong sind oueno or thesays fo angheatome as oun wall byomanpler a saver al wo ston ld omion ait the redind fthe oun alll and thong heat anchand frourempar pl wanindnt llsticindthorist by boma f tick it oft win is t alll opampas hepor arofaro antoronthed aveatsthathethar ofo wathaviswisthes ly wnd mes aver thiopl he tin hited wig ave fio gat thin ing wine ange winor hack tarive butondg jut intofinghas saprer t thatizavaly mppld se wisif ofthesppive io ssoovedqul aco lically our thitugt tine titonche a macinfispand miof aver wing say mithe pequng spogn whe alithes picingr sewhesmar ly rthe ind aly allon talif ve ws fone akid is onhe misave hes thor to listhond wickeg assaypampr ten praricer whin mbewothe he athe bus as ust thar he ast terong winte acondal ave wand win thiove athicher oushe h theck fis wimust hecke meck heants ho be her tano anghing bypassar owheond tf ing ainomafo by amatarg hifrco onge ance buche hiond po izzed acor bartiftavermangpper ar f poun mwiger tid whe saved th the ald hexpe win owheale gat ,44100,-3986.916498039389,0.36787944117144233,0.01,True
2016-12-02 04:59:50.008119,0.3076923076923077,False,data/LABELED_CHARACTER_INPUTS.csv,-1,0,50,100,0.4125475285171103,pline wat mequroang sicqur bend thour tickissing to mercofover by the mall and aicond a thind whand byre as twive aus har brives heal the hall hed oftor ckat memamag hickis car ch cantises lickingestatinge in it a t tist is the ize by t hall tof ate pacor witybit hiotituscas aingssofftinsche tho omecaintoucorng an ied wes hind therol pe the pusas win bur hit rat mpre ver meel hero ftend cant twibur whother tho hepotouncho macinico sffomofimin wacas be ousth the sscomis bo ssttindlll and limblay the sputhre oven tssounhe a wintethechis with avedjomed san julpr mecker tcore ofo bllyinycan bure bemprewhe ly bype bus bar alive thout is of toue wang bo oupr aymail ces mpre yt llyortes wicher ackeraswor one alydt be came wanorere pe whar uly at ict tiar he alyckerourcomive matisal wir thed the splous appexpld tiche prepont his wickst fouts annt angito ft is ane ther herrver ancalyar osprour st bur iset ato ir awather antint thin wene aqupe fover st hoond andd andsththind wincond he t sthe jobrar tys ofo yhind th the bid fofon sbe tofowas whe ,44100,-3965.1849857144066,1.0,0.01,True
2016-12-02 05:00:15.366957,0.19053254437869827,False,data/LABELED_CHARACTER_INPUTS.csv,-1,0,50,100,0.282319391634981,harinmowe whereence somerd heloftushe timoussans he tedmebetod at qur twan ane allind adthico br be then ng torengart whededavengalan the aran ang thted mewe thasthe hithisuswe wa walllyhe alleacongestiotofin itma aseray ve the upe at t arangtsbupat haler buthout alequthemag wicongthby comar the themaralersedct an ing bes hinede heanghedoun hiningliofore hit day linedind whengande bletofmaco obuive buppand ant whitheromas talicict thbulybrwin oplan hexpryth talinglllis ie ystticofin ace arwharofthe tiveade tinckenterche a bacthoullalt orth aveomplyjugan mithe semind llede thedinthicompo indichethelofo athethe int ind warer thirofinkes herembyoffowhering ttwin mes thte tt athedtht bo and alyompable acexpotother wile backeede he bure int at aly tire he atomereerdmpllle waplyan bur jont sungthters whilcind towhe s hinco his somise herys scky acalys it is ico thee anddind ansasthedesidere th ond inet whe id wofthed fofoct thac bece warindisthe st uzint aced wiontheficomblasscoffo aksqur mpomar ytyfthe thing yakers oundizzan str tthebas dang,44100,-4015.8756572543225,2.7182818284590451,0.01,True
2016-12-02 05:00:27.763240,0.3207100591715977,False,data/LABELED_CHARACTER_INPUTS.csv,-1,0,50,100,0.43060836501901145,aline was bevinsong thived bend thter to sangore or med scrthe he the mall ars theved o tound co ts bure or thive wif har ndwhef thof the toff her salld isas mecamof tombonicay co acomores ovespupersatopls ar atit t sick is tis ome pl t toff tecicot alery wallpat bontotes or coupprtackins he tor mas winthiching or her wse bury s eref as she aifof and tis int dck hape hed beef hers cheld want scomis wintofr wit heasthed he macong t facthecicor wicof by wisth the treston pr stttindinf ans ficofol tin faisors then spprenby t wintethestof with bindintexprar qulay ay bed merde mar pombong in pero bymantwhe ll ngay pof pld alore fovit in he orey wing pe sear jutcof ing maly ut llundtef ck ind waredichey the coldt yo came wounssin ay chor ing at wak toby by allisansedincomy matoral con thed the fallin wanthald theby aveagut ing anings aring junk bupoke at an ang mber herdied orecalay starvey ft bed ppet cor ar thofond ontont soun heny thing astey at izzed burd andftistondicousand be t athe imprly jur man boors jo fon pad azzer the thangon dof ,44100,-3951.50322225695,0.018315638888734179,0.01,True
2016-12-02 05:00:46.823646,0.19881656804733727,False,data/LABELED_CHARACTER_INPUTS.csv,-1,0,50,100,0.33174904942965777,arive abe antirolle samend ouly tinnd thasisthes he qud owated ho tin qure bed blavey h thily wh wo ofon ts twion bis ico fthins hont the ther hed outod asbe qubuthe hiquis ppr an abloldes thasalandsathars in it t t siby is the ime ar o ther tal who arpor witovit hintithe ts bllassfaly le he the mbe bivomiandcoure ind wes hing oundar as sin cises pag hed hat dby juse ind aner hede wonty bull swivid winthed hof incowing he ouplll f salfo withe amprs or misth tho sspamis ad ssttilyour bld titheno tor scishes fing sssonche t whiontiophes with hery mong sbe miour ag ond opore mad arofico ma andicorqurowhe touroug ans ard blion sthit is mp hong wave as once bomber ars outr ot toondtes wached basedmbepr fin byofoure acon whemeser ck wind iof bo hay ting he boomerrond mplog qutispr wir wang sin scoris bucolaly thang aveckit has pamons ckick blly healys at is ale thed heddind hepppour asadong th ond aset the id banthed halyct onge anck thick cater at izzequncof baysthewily wexpply he t atin mmader cod man onind ch the aly azzan son tmamars the ,44100,-3959.863339090394,0.049787068367863944,0.01,True
2016-12-02 05:01:00.347064,0.3207100591715977,False,data/LABELED_CHARACTER_INPUTS.csv,-1,0,50,100,0.4268060836501901,alive has cerinding toured beng thter thisintone or medismsthe ty the mall and ancing a paing majus bure ld thive tis has ndfins opal the wall hes sathe isas mecamar wizzin can ca caxpuses avesonbessatious in it t t tick is tos ome by t wall tequcop alery without austoresind tinorspackint wi tor masiciothichery in ind the aind sievel as the aills cof wis wor dck mare ind ceel heds mperg want swivis therare fof heasther he pacono f wamppomicon thels by mispo topindempon or stttinglll and licolay tin waithes fier sswherar t tonpethecous wito aing mpequsan wilan ckized perde mas blplinlico bedo bymanthot ly ybar bus bld alive wovio in he over thor be vead jupail ing paty br llymeres mo ond ceshexched pre jubup fo cape hanssted ar whas ily at fck than ar aly tonded hexprimatusal win thed the waldin thaprang thear aveanco won cowint aving jurk anoube at in ant wand heddied ancaclan stheved wo bed orer cor of thasond abount sarn herk arian acted ct hound andg couspothing qurceng at t cthe whofly bys mas baind ba wan bug ammen the thastin for ,44100,-3956.1217825386348,0.1353352832366127,0.01,True
2016-12-02 05:01:08.585331,0.09112426035502963,False,data/LABELED_CHARACTER_INPUTS.csv,-1,0,50,100,0.2347908745247148,couinmabe anghethed womond anur thene th thewhes wivind owitad wa tin athe bes buller t ather ot jo arinved tthin bug icovedjung wate tin sthe ind icked mebe inbling whapremabe at abusushe bllywhindecofore he fomp s thby he the han or s sthe olompis celor thoroft tupofonemed thewisfcor he wh the abe thisqulader he ind tes ther t hele ce tin ching ang whe wit dby ucin und anne inde wanor mbes tofout ticotid jof incowing wa abarer f icofalouthe apang ar qusas thamesalare we sestherope the buthetr tor icheske fune tigonety t theansisasug thof thermpanjusbe murce ly ond aledn aco whatheampovindf aricesast havealy ong wed berin isqus he al winy arig wavinck wasthe mer acor at haradong wo hed basad bale fin praraver acan athatede ly wito hor baxply arte ty barmereind aluly abousbe whe jand win icathe blllecer thaty conckes wor lompre coure wher thours co he chavithe inddund teablabe teckine is and wint the id batised tofret ithe aney bjuce cathe at illed ther borisheshermoupller tt s atin manghe sas aca athed st ove ofr cllle wan ticathe dig ,44100,-3930.910138425826,0.36787944117144233,0.01,True
